State,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total intl calls,Customer service calls,Churn
NH,114,No,No,0,169.6,85,8,1,False
OK,101,No,No,0,89.7,118,11,5,True
WI,117,No,Yes,14,80.2,81,2,1,False
AL,109,No,No,0,218.9,105,4,2,False
PA,82,No,No,0,125.7,96,2,1,False
OK,92,No,No,0,176.3,85,1,2,False
ME,82,No,Yes,29,207.2,111,5,2,False
WV,90,No,No,0,205.7,138,6,2,False
HI,87,No,Yes,28,151.4,95,0,1,False
MN,124,No,No,0,157.5,70,4,3,False
NY,39,No,No,0,160.4,68,5,2,False
AZ,84,No,No,0,159,80,5,1,False
OH,75,No,Yes,46,214.1,62,6,0,False
MI,102,No,No,0,102.6,89,4,2,False
MA,62,Yes,No,0,159.7,86,6,0,True
WV,143,No,No,0,202.8,109,4,1,False
MI,53,No,No,0,57.5,95,6,3,False
NM,30,No,No,0,169.9,144,7,1,False
MO,112,No,No,0,335.5,77,8,2,True
RI,129,No,No,0,139.5,119,8,0,False
NC,63,No,Yes,29,142.3,107,8,1,False
WY,28,No,No,0,187.8,94,5,0,False
WY,111,No,No,0,146.2,55,3,3,False
PA,91,No,No,0,231.8,120,7,3,False
KY,90,No,No,0,193.7,83,3,1,False
OR,151,No,No,0,156.4,108,6,4,False
NV,105,Yes,Yes,29,220.7,82,6,1,True
DC,41,No,Yes,37,239.8,110,1,2,False
UT,48,No,Yes,43,172,111,5,1,False
WA,166,Yes,Yes,35,128.2,138,7,2,False
FL,79,No,No,0,130.2,119,6,3,False
VA,153,No,No,0,195.4,107,6,1,False
KS,110,Yes,No,0,293.3,79,4,0,True
KS,163,No,No,0,191.3,89,4,1,False
DC,126,No,No,0,122.4,88,3,1,False
ME,105,No,Yes,33,209.6,68,3,2,False
LA,172,No,No,0,215.7,140,1,3,False
DC,126,No,No,0,161.4,110,2,0,False
TX,97,No,No,0,144.2,91,4,3,False
NJ,95,Yes,Yes,37,220.2,109,2,0,True
DE,87,No,No,0,256.2,105,2,4,False
VT,97,No,No,0,112.7,119,5,1,False
GA,76,No,No,0,299.5,125,4,0,True
TX,140,No,No,0,194.8,107,4,0,False
MT,169,No,No,0,100.8,112,2,0,False
ND,68,No,Yes,22,82.5,97,4,3,False
NJ,122,No,Yes,34,146.4,104,4,2,False
MO,36,No,No,0,177.9,129,6,2,False
CO,120,No,Yes,27,153.5,84,7,5,False
KS,121,No,No,0,150.7,105,15,1,False
NC,64,No,Yes,19,180.1,106,3,0,False
MT,13,No,Yes,31,265.3,94,1,1,False
DE,106,No,No,0,128.6,83,2,0,False
ND,88,No,No,0,161.5,92,4,2,False
VA,74,No,No,0,165.3,120,3,1,False
IL,83,No,No,0,195,92,13,0,False
OK,49,No,No,0,213.8,79,7,0,False
CO,111,No,Yes,24,205.5,114,4,1,False
MT,50,No,Yes,22,252.9,112,4,3,False
WV,153,No,Yes,28,235.6,74,9,0,False
ME,88,No,No,0,192,91,5,1,False
WI,131,No,Yes,39,69.1,122,4,0,False
MO,79,No,No,0,261.7,97,3,3,True
NY,140,No,No,0,235.5,81,4,2,False
CT,105,No,No,0,213.4,100,6,1,False
AR,54,No,Yes,39,206.9,143,1,3,False
WY,87,No,Yes,22,263.8,65,3,3,False
CA,96,No,Yes,31,183.4,126,5,1,False
CA,79,No,No,0,157.6,85,10,5,True
MN,55,No,No,0,175.6,147,4,0,False
AK,130,No,No,0,242.5,101,2,2,False
VA,34,No,No,0,151,102,7,0,False
CO,139,No,No,0,138.1,103,2,1,False
MT,109,No,No,0,264.7,69,9,1,True
SD,65,No,Yes,31,282.3,70,4,1,False
NE,63,No,No,0,211.2,80,2,0,False
VT,152,No,No,0,197.1,126,4,3,False
ND,147,No,No,0,205.3,95,4,1,False
GA,112,No,Yes,22,181.8,110,4,2,False
OR,120,No,No,0,252,120,1,2,False
MT,27,No,No,0,193.8,102,3,0,False
WY,171,No,No,0,231.2,135,1,1,False
GA,101,No,Yes,33,200.1,108,4,0,False
WV,32,No,Yes,26,266.7,109,4,1,False
CT,3,No,Yes,36,118.1,117,6,2,False
IL,151,No,No,0,175.3,106,5,0,False
CO,60,No,No,0,125.1,99,3,3,False
DE,119,No,No,0,176.8,90,15,1,False
LA,43,No,No,0,241.9,101,3,1,False
MA,42,No,No,0,241.2,134,4,0,False
IN,84,No,No,0,217.1,99,4,1,False
NY,65,No,No,0,195.4,110,4,0,False
TX,75,Yes,No,0,222.4,78,9,1,True
KS,116,No,No,0,189.5,90,2,1,False
WV,107,No,No,0,123.1,100,5,0,False
NE,189,No,Yes,38,256.7,98,3,3,False
ND,123,No,No,0,159.1,94,1,1,False
AK,110,No,No,0,100.1,90,8,3,False
CO,63,No,Yes,32,30.9,113,7,1,False
ME,176,No,No,0,223.2,76,2,3,False
SC,108,No,No,0,187.4,101,8,1,False
MN,13,No,Yes,21,315.6,105,3,3,False
CO,71,No,No,0,277.5,104,2,1,False
KS,88,No,No,0,189.8,111,3,2,False
MS,137,No,No,0,147.2,119,4,1,False
NE,82,No,No,0,185.8,36,7,4,False
NJ,92,No,Yes,29,155.4,110,4,3,False
WI,165,No,No,0,154.2,91,4,6,False
MT,96,No,No,0,97.6,98,9,1,False
AR,156,No,No,0,178.8,94,3,1,False
WA,63,No,No,0,149.3,104,4,0,False
NH,37,No,No,0,206,89,11,0,False
IA,98,No,No,0,216.8,86,9,0,False
WV,121,No,No,0,103.3,110,3,0,False
RI,94,No,No,0,139.4,95,3,0,False
KS,99,No,No,0,191.2,110,3,1,False
MT,163,No,Yes,23,160,104,7,1,False
MO,161,No,No,0,221.7,95,4,3,False
HI,99,No,No,0,62.9,81,5,1,False
CO,108,No,No,0,215.6,78,5,1,False
CT,84,No,Yes,42,165.3,97,7,3,False
ID,83,Yes,Yes,32,94.7,111,6,2,False
DC,139,No,No,0,203.2,81,3,2,False
TN,69,No,No,0,195.3,70,4,3,False
WY,129,No,No,0,143.7,114,8,4,False
MO,106,No,No,0,114.4,104,0,2,False
VA,158,No,No,0,222.8,101,2,2,False
SD,168,No,Yes,22,175.9,70,5,2,False
WV,115,Yes,No,0,249.9,95,6,1,True
GA,57,Yes,Yes,30,234.5,130,4,2,False
AZ,67,No,No,0,210.7,116,6,1,False
AK,127,No,No,0,182.3,124,3,1,False
AK,78,No,No,0,190.3,88,5,2,False
CT,100,No,Yes,38,177.1,88,2,0,False
UT,103,No,Yes,36,87.2,92,5,6,True
KY,113,No,No,0,215.6,96,3,1,False
MI,78,No,No,0,137.4,109,11,3,False
OR,129,No,Yes,36,192.8,103,5,1,False
TN,57,No,No,0,149.3,100,3,2,False
WV,82,No,No,0,143.7,116,5,1,False
NJ,64,No,No,0,224.8,111,2,1,False
MS,86,No,Yes,39,261.2,122,5,2,False
ME,151,No,Yes,26,196.5,98,5,0,False
WY,94,No,No,0,271.2,105,3,3,True
WY,90,No,No,0,207.2,121,1,2,False
IN,48,No,No,0,300.4,94,5,2,False
NM,85,No,Yes,37,229.6,123,8,2,False
NJ,93,Yes,Yes,20,187.5,110,4,1,False
DC,169,Yes,No,0,57.1,98,6,3,False
UT,68,No,No,0,162.1,86,9,5,True
KY,91,Yes,No,0,145,89,3,2,True
KS,68,No,No,0,159.5,123,3,1,False
MI,101,No,No,0,190.7,72,8,1,False
UT,67,No,Yes,20,230.6,40,2,1,False
NE,66,No,No,0,34,133,3,0,False
FL,116,No,Yes,17,193.4,112,3,5,False
LA,158,No,No,0,202,126,6,1,False
MT,78,No,No,0,191.7,122,5,1,False
WA,119,No,Yes,26,161.3,97,8,1,False
MI,120,No,No,0,150.6,85,2,1,False
KY,155,No,No,0,184.6,102,1,1,False
LA,106,No,No,0,220.7,120,5,1,False
NM,87,Yes,No,0,167.3,119,6,1,False
AL,146,No,Yes,32,154,80,4,3,False
MO,101,No,Yes,29,121.1,116,6,0,False
CO,22,No,Yes,23,182.1,94,4,3,False
TX,90,No,No,0,109.6,88,5,2,False
NY,41,No,No,0,209.9,105,4,1,False
OR,69,No,No,0,167.5,76,4,2,False
WY,33,No,No,0,213.9,88,14,2,False
UT,112,No,No,0,115.8,108,5,1,False
LA,108,No,Yes,30,276.6,99,6,2,False
NV,136,No,Yes,21,179.4,88,4,2,False
NC,128,No,No,0,187.3,84,5,1,False
NC,27,No,No,0,201.2,128,3,2,False
WY,161,Yes,No,0,189.6,78,6,1,False
TN,33,No,Yes,35,186.8,124,5,0,False
FL,120,No,Yes,31,153.5,83,4,0,False
CA,113,No,No,0,187.6,97,6,2,False
PA,122,Yes,No,0,230.9,132,2,0,True
WV,148,No,Yes,26,244.9,150,4,2,False
NJ,74,No,No,0,230.9,93,2,3,False
MT,106,No,No,0,187.1,104,3,1,False
MN,179,No,No,0,170.7,54,4,1,False
WI,149,Yes,Yes,28,126.9,97,3,5,True
ID,77,No,No,0,189.5,112,7,0,False
MA,127,Yes,No,0,176.9,110,2,1,True
OR,80,No,No,0,161.1,99,4,1,False
MT,106,No,No,0,169.4,107,4,1,False
AL,61,No,Yes,20,254.4,133,4,0,False
ND,135,Yes,Yes,24,127.7,54,4,2,False
LA,115,No,Yes,26,170.5,107,5,6,False
ND,167,Yes,No,0,219.1,100,4,2,False
MS,107,Yes,No,0,273.5,104,9,2,False
WV,112,Yes,No,0,161.9,138,4,1,False
WI,35,No,Yes,27,241.7,87,4,1,False
KS,103,Yes,No,0,62.8,124,4,3,False
MO,107,No,Yes,22,281.1,83,9,1,False
PA,69,No,No,0,228.2,70,5,3,False
SD,85,No,No,0,209.8,82,3,0,False
NJ,24,No,No,0,265.6,86,6,2,True
AL,90,No,No,0,214.9,97,2,2,False
ME,137,No,No,0,110.5,79,3,3,False
AZ,92,Yes,Yes,45,281.1,88,3,0,False
VT,38,No,No,0,137.8,86,3,2,False
NV,69,Yes,Yes,33,271.5,98,2,1,True
WI,45,No,No,0,112.8,108,3,2,False
HI,73,No,No,0,187.3,118,2,1,False
DE,92,No,No,0,197,84,4,1,False
AZ,113,No,Yes,32,180.4,89,2,1,False
VA,68,Yes,No,0,148.5,126,7,1,True
GA,135,No,Yes,22,197.1,113,5,2,False
AZ,100,No,Yes,26,153.7,115,5,1,False
MN,96,No,Yes,27,261.3,96,2,1,False
ME,108,No,No,0,246.2,102,5,1,False
FL,84,No,No,0,191,88,4,0,False
WA,134,No,No,0,208.3,86,3,1,False
MT,72,No,No,0,253,73,4,0,False
AL,83,No,No,0,202.3,87,4,0,False
WV,137,No,No,0,174.4,120,5,0,False
GA,56,No,Yes,30,127.1,89,3,1,False
OH,61,Yes,Yes,16,143.5,76,3,0,False
DE,171,No,Yes,17,186.9,94,3,1,False
NE,123,No,No,0,194,118,4,1,False
FL,58,No,No,0,234.8,89,6,0,False
AK,156,No,No,0,123.7,96,4,1,False
WI,166,No,No,0,173.9,103,5,0,False
WA,75,No,Yes,41,130.9,115,4,1,False
KY,75,No,No,0,314.6,102,3,2,True
OH,83,No,No,0,227.9,78,5,1,False
UT,243,No,No,0,95.5,92,6,2,False
NM,153,No,No,0,185.3,127,3,1,False
MN,150,No,No,0,146.3,133,3,1,False
WV,92,No,Yes,16,184,99,3,2,False
MN,80,No,No,0,105.8,110,5,0,False
AL,134,No,No,0,178,110,4,1,False
PA,77,No,Yes,24,149.4,74,6,1,False
DE,147,No,No,0,209.4,104,3,2,False
MO,74,No,No,0,172.1,105,6,1,False
IL,138,Yes,No,0,169.3,82,9,1,False
FL,143,No,No,0,119.1,117,4,0,False
HI,64,No,No,0,194.2,147,2,2,False
ME,120,No,No,0,198.8,56,3,2,False
CO,121,Yes,No,0,167.7,94,1,3,True
NH,88,No,No,0,202.2,86,2,2,False
SC,87,No,No,0,322.5,106,4,2,True
IN,100,No,No,0,216.2,107,3,0,False
FL,104,No,No,0,76.4,116,3,3,False
GA,27,No,No,0,72.7,75,3,1,False
IL,81,No,Yes,31,210.4,100,4,0,False
NC,64,Yes,Yes,33,127.2,93,13,0,False
VT,107,No,Yes,28,201.8,79,8,1,False
DC,88,No,Yes,17,219.5,78,5,1,False
VT,111,No,No,0,99.3,112,6,3,False
NV,77,No,No,0,239.2,114,2,5,False
OR,67,Yes,No,0,120.9,58,11,2,False
AL,102,No,No,0,224.7,81,6,1,False
ND,146,No,Yes,19,176.6,88,6,1,False
FL,144,No,Yes,51,283.9,98,4,1,False
NE,96,No,No,0,180.6,92,4,1,True
ND,70,No,Yes,31,125.9,101,4,1,False
ME,149,No,No,0,237.6,79,9,0,False
IL,129,No,No,0,198.4,91,2,2,False
WA,166,No,No,0,274.3,110,5,0,False
MA,136,Yes,No,0,199.6,89,4,3,True
KS,149,No,No,0,217.7,91,3,3,False
RI,70,No,No,0,134.7,96,6,3,False
MO,120,No,Yes,24,212.7,73,13,2,False
IA,66,No,No,0,256.3,135,7,2,False
WY,104,No,No,0,183.6,133,2,1,False
NV,160,No,No,0,176.2,90,4,1,False
WI,129,No,Yes,37,205,94,8,1,False
AL,93,No,No,0,267.9,114,3,3,True
HI,169,No,No,0,179.2,111,6,2,False
MO,58,No,No,0,149.4,145,3,1,False
CA,75,No,Yes,38,163.6,132,3,3,False
MO,45,No,No,0,207.6,71,13,1,False
CT,155,No,No,0,165.4,108,4,3,False
MD,52,No,No,0,209.8,114,9,4,False
OH,119,No,Yes,27,220.1,128,3,0,False
NV,86,No,No,0,141.3,72,5,1,False
MD,42,No,No,0,196.5,89,7,0,False
NE,127,Yes,No,0,180.9,114,4,2,False
OH,123,No,No,0,105,150,5,0,False
MA,98,No,No,0,271.4,119,6,4,True
OK,149,No,Yes,43,206.7,79,3,1,False
MA,160,No,No,0,166.8,109,1,1,False
WA,103,No,No,0,204.9,107,3,5,False
HI,132,No,Yes,15,154.6,128,4,1,False
CO,137,No,No,0,127,107,2,1,False
FL,129,Yes,No,0,267.4,78,4,1,False
WI,62,No,No,0,281,66,0,1,False
ID,122,No,Yes,33,270.8,96,8,4,False
WY,32,No,No,0,171.2,82,7,1,False
GA,86,No,No,0,124.1,82,8,3,False
FL,130,No,No,0,162.8,113,3,1,False
WY,42,No,No,0,146.3,84,12,1,False
DE,73,No,No,0,254.8,85,7,2,False
ME,66,No,Yes,26,254.9,108,3,2,False
DC,103,No,Yes,31,107.7,124,3,0,False
IA,128,No,No,0,158.8,75,7,1,False
CO,104,No,No,0,182.9,113,4,2,False
MN,103,No,No,0,198.5,112,5,0,False
VT,124,No,No,0,178.4,72,2,0,False
AZ,87,No,No,0,110.9,91,5,1,False
LA,109,No,Yes,27,166.9,85,4,1,True
MO,167,Yes,No,0,244.8,91,3,2,False
ME,97,No,No,0,120.8,96,3,4,True
MD,106,No,No,0,165.3,118,3,2,False
VT,125,No,No,0,126.7,113,7,2,False
DC,108,No,Yes,35,215.9,106,7,0,False
WY,125,No,No,0,140.1,132,2,1,False
VA,89,No,Yes,32,209.9,113,7,1,False
VA,72,Yes,Yes,29,139.8,114,6,0,False
CT,23,No,No,0,321.6,107,3,2,True
HI,149,No,No,0,166.6,61,6,7,False
WI,73,No,No,0,214.2,90,8,0,False
MD,61,No,No,0,260,123,3,1,True
WV,161,No,No,0,191.9,113,4,4,True
VT,73,No,No,0,213,95,3,0,False
UT,118,No,Yes,24,118.1,83,2,1,False
CO,23,No,No,0,190.2,89,4,6,False
NC,127,No,Yes,25,82.2,95,6,0,False
NJ,42,No,Yes,32,163.8,80,5,0,False
AR,118,No,No,0,267.8,145,11,5,True
IA,45,No,No,0,159.8,91,3,2,False
GA,50,No,Yes,24,214.3,129,4,1,False
MO,179,No,No,0,287.3,123,4,0,True
MO,152,No,No,0,101.2,122,3,2,False
WY,105,No,No,0,102.8,74,5,2,False
HI,72,No,No,0,109.1,97,6,0,False
PA,52,No,No,0,215.9,67,2,1,False
TX,125,No,No,0,203.4,110,4,1,False
VA,143,No,No,0,110.1,113,2,1,False
RI,65,No,No,0,111,51,14,1,False
WI,80,No,No,0,239.9,121,5,1,False
MS,1,No,No,0,144.8,107,3,1,False
KY,60,No,No,0,135.4,134,4,1,False
NC,43,No,No,0,84.2,134,2,1,False
NV,143,No,No,0,209.1,127,6,0,False
UT,81,No,Yes,24,130.1,117,5,0,False
ME,205,No,Yes,24,175.8,139,5,2,False
HI,24,No,No,0,241.9,104,5,1,False
OH,74,No,No,0,136.7,106,4,0,False
WV,77,No,No,0,67.7,68,2,1,False
OK,74,No,No,0,200.4,87,2,1,False
KY,74,Yes,No,0,125.8,103,4,1,True
AL,200,No,No,0,128.2,87,2,1,False
MD,86,No,No,0,226.3,88,3,4,False
NE,91,No,Yes,37,162.3,107,4,0,False
DC,76,No,No,0,224.4,121,2,2,False
TX,130,No,No,0,120.5,127,2,1,False
OH,56,No,No,0,91.1,90,8,2,False
DE,117,No,No,0,168.8,137,4,0,False
IA,63,No,No,0,153.5,81,5,2,False
VT,126,No,No,0,226.2,88,2,0,False
OR,132,No,No,0,191.9,107,2,1,False
NV,81,No,Yes,28,167.9,147,6,4,True
NC,122,No,No,0,180,88,6,2,False
NJ,46,No,No,0,257.4,67,5,2,True
MN,150,No,Yes,28,174.4,75,4,1,False
ID,99,No,No,0,159.7,83,3,1,False
AL,87,No,No,0,237.2,124,3,1,False
AK,108,No,No,0,103,129,3,1,False
VT,101,No,No,0,153.8,89,2,4,False
PA,53,No,No,0,205.1,86,2,3,False
AK,132,No,Yes,39,175.7,93,3,2,False
CA,158,No,No,0,155.9,123,8,2,False
MS,114,No,Yes,34,154.4,109,5,0,False
AR,77,No,Yes,23,209.7,73,3,2,False
NV,144,Yes,No,0,150,69,15,0,False
AL,91,No,Yes,23,232.4,97,3,3,False
GA,58,No,No,0,165.4,100,5,2,False
AR,5,No,No,0,199.2,106,3,3,False
MA,97,No,No,0,217.6,81,3,0,False
NJ,107,No,No,0,212.1,95,2,3,False
MO,142,No,Yes,30,154,75,5,1,False
NY,9,No,Yes,31,193.8,130,2,1,False
AZ,73,No,No,0,175.4,130,4,0,False
NJ,48,No,Yes,22,152,63,5,2,True
WV,43,No,No,0,230.2,147,3,0,False
NM,122,No,Yes,33,174.9,103,3,1,True
SC,93,No,No,0,190.2,68,4,0,False
VT,85,No,No,0,176.4,122,1,1,False
TN,59,No,No,0,160.9,95,5,3,False
LA,87,No,No,0,228.7,90,3,1,False
OH,137,No,No,0,144,90,2,0,False
OR,21,No,Yes,31,135.9,90,7,6,False
DE,129,No,No,0,334.3,118,6,0,True
KY,104,No,No,0,130.5,77,6,0,False
GA,93,No,Yes,21,134.2,105,2,4,True
VT,63,No,No,0,278,102,4,4,True
OR,161,No,No,0,105.4,70,5,0,False
TX,50,No,No,0,188.9,94,8,3,False
MO,103,No,Yes,24,111.8,85,4,1,False
ND,84,No,Yes,33,159.1,106,18,1,False
MN,92,No,No,0,212.4,105,4,1,False
NV,77,No,No,0,142.3,112,1,1,False
NY,64,Yes,No,0,346.8,55,9,1,True
FL,159,No,Yes,15,113.9,102,9,1,False
KS,110,Yes,Yes,27,267.9,103,2,1,True
NV,138,No,No,0,171.4,117,4,3,False
NV,178,No,No,0,275.4,150,3,1,False
SC,38,No,Yes,31,197.2,118,2,0,False
MI,50,No,Yes,35,192.6,97,2,2,False
MI,45,No,Yes,26,91.7,104,5,1,False
TN,70,No,No,0,126.3,99,2,0,False
NY,147,No,Yes,33,251.5,107,6,3,False
NV,94,No,No,0,190.6,108,5,1,False
IL,179,No,No,0,116.1,101,5,0,False
MS,116,No,No,0,217.3,91,3,2,False
ND,59,No,No,0,179.4,80,3,0,False
NC,165,No,No,0,207.7,109,3,0,False
MI,133,No,No,0,277.3,138,4,2,True
TN,140,No,No,0,125.3,84,4,1,False
VT,93,No,Yes,32,138.1,91,3,2,False
OK,52,No,Yes,38,169.3,88,3,0,False
DE,64,No,Yes,27,201.3,101,3,1,False
ND,12,Yes,No,0,216.7,117,4,2,False
OR,48,No,No,0,190.4,92,4,2,False
NY,181,No,No,0,143.3,91,7,1,False
MO,168,No,Yes,42,97.4,57,2,2,False
FL,155,No,No,0,181.4,111,3,3,False
ND,105,No,No,0,246.4,83,4,0,False
NY,11,No,No,0,143.4,130,6,2,False
ND,182,No,No,0,104.9,111,5,2,False
NY,104,No,No,0,156.2,93,5,1,False
OH,102,No,No,0,114.8,125,4,0,False
AL,122,No,No,0,232.5,96,2,0,False
SC,41,No,No,0,143.6,117,3,1,False
GA,132,No,No,0,176.7,132,4,2,False
WY,76,No,No,0,263.4,148,5,1,True
WV,13,No,No,0,146.4,74,3,1,False
HI,115,No,Yes,33,145,72,3,2,False
WV,67,No,No,0,167.8,91,12,1,False
LA,154,No,No,0,166.9,99,5,0,False
AR,100,No,No,0,142.5,87,8,2,False
AK,146,Yes,No,0,133,65,3,1,False
DC,148,No,Yes,11,252.9,129,1,1,False
AL,67,No,Yes,28,95,94,2,2,False
UT,161,Yes,No,0,194.2,106,1,1,True
KS,70,No,No,0,222.8,114,0,1,False
MN,116,No,No,0,201.8,82,5,0,False
VA,99,No,Yes,42,216,125,4,2,True
UT,87,No,No,0,146.3,108,9,1,False
IN,87,No,No,0,234.8,85,5,1,False
CT,70,No,No,0,198.6,111,6,2,False
DE,131,No,No,0,94.4,80,9,2,False
VT,119,No,No,0,190.4,74,1,2,False
MO,119,No,Yes,32,142.6,77,2,3,False
RI,87,Yes,No,0,134.2,80,5,0,False
CA,112,No,No,0,111.9,92,3,5,True
RI,75,No,No,0,122.8,89,2,2,False
CT,150,No,No,0,189.3,77,5,4,False
IN,161,No,Yes,38,240.4,112,6,0,False
FL,91,Yes,Yes,24,93.5,112,3,0,False
KS,124,No,No,0,158.6,104,8,3,False
NY,94,Yes,No,0,243.2,109,4,4,False
TX,217,No,No,0,176.4,115,3,4,False
RI,158,No,No,0,220.9,129,5,0,False
NV,102,No,No,0,144.4,87,7,0,False
UT,85,No,No,0,212.3,107,3,0,False
OK,79,No,No,0,147,72,9,1,False
MN,139,No,Yes,25,96.2,112,10,2,False
NC,103,No,No,0,263.4,118,2,0,False
OR,98,Yes,No,0,12.5,67,9,1,False
NH,78,No,No,0,162.3,116,3,2,False
AK,50,No,No,0,183.6,107,3,1,False
OR,161,No,No,0,178.1,109,2,1,False
KS,67,No,No,0,201.4,101,3,0,False
WV,86,No,Yes,38,123,158,4,1,False
GA,92,No,No,0,208,125,6,0,False
NM,174,No,No,0,239.2,72,3,1,False
OH,124,No,No,0,193,97,3,1,False
ND,132,No,Yes,31,174.5,101,9,1,False
RI,190,No,Yes,26,116.7,71,3,1,False
HI,101,No,No,0,93.8,127,2,1,False
WY,185,Yes,Yes,30,154.1,114,3,2,False
NY,68,No,Yes,29,239.5,82,6,0,False
KS,117,No,Yes,25,216,140,4,0,False
LA,118,No,No,0,187.4,97,6,1,False
PA,124,No,No,0,167.4,119,5,0,False
NV,22,No,No,0,160.4,108,4,1,False
MN,75,No,No,0,143.2,92,9,1,False
PA,134,No,No,0,205.3,122,9,1,False
MO,164,No,Yes,25,219.1,88,6,1,False
NY,44,No,No,0,143.2,77,4,1,False
ME,177,No,No,0,232.8,106,7,2,False
NH,110,No,No,0,162,81,8,0,False
WY,53,No,Yes,27,25.9,119,7,1,False
NY,108,No,No,0,154.2,123,4,4,True
ME,80,No,No,0,322.3,113,8,0,True
MN,158,No,No,0,209.9,112,3,1,False
OH,114,No,No,0,191.5,88,0,0,False
NC,64,No,Yes,19,291.1,150,2,1,False
SD,88,No,No,0,215.6,115,1,3,False
UT,82,Yes,No,0,208.8,101,6,3,False
KY,111,No,No,0,255.9,97,5,3,False
MT,60,No,No,0,252.7,97,4,2,False
NJ,113,No,No,0,132.1,72,6,3,False
FL,109,No,No,0,217,115,4,1,False
IN,105,No,Yes,42,101.9,79,2,0,False
DE,85,No,No,0,211.5,100,4,2,False
AL,131,No,No,0,153.4,86,3,0,False
ME,59,No,No,0,166.3,95,3,2,False
SD,148,No,No,0,185.2,87,13,1,False
VA,210,No,No,0,104.6,121,8,2,False
AK,115,No,No,0,245.2,105,8,0,False
ID,106,No,No,0,274.4,120,3,1,False
RI,93,No,No,0,98.4,78,4,1,False
KY,57,No,Yes,29,279.9,121,2,1,False
ND,98,No,No,0,187.2,127,4,1,False
HI,157,No,No,0,276.2,95,4,3,False
WI,116,No,Yes,35,200.4,104,4,1,False
WV,30,No,No,0,162.3,96,4,2,False
NJ,111,No,No,0,176.9,128,2,4,True
KS,52,No,No,0,165.5,78,6,0,False
AL,72,No,No,0,217.8,93,5,4,False
NJ,135,No,Yes,28,201.4,100,4,2,True
NC,86,No,No,0,190.5,115,5,3,False
DE,98,No,Yes,29,179.9,97,7,3,False
WY,151,No,No,0,235.9,104,2,3,False
ID,118,No,No,0,140.4,112,1,0,False
NY,117,No,No,0,144.6,115,9,2,False
MO,55,No,No,0,189,100,6,0,False
ID,82,No,No,0,101,93,2,0,False
IA,152,No,No,0,206.3,98,4,1,False
TN,108,No,Yes,15,165.1,85,4,1,False
OH,98,No,No,0,165,129,7,1,True
IL,130,No,No,0,155.9,95,3,3,False
FL,136,Yes,No,0,199.2,122,7,1,False
MA,47,No,No,0,155.3,116,4,3,False
OK,189,No,No,0,208.3,106,5,3,False
KY,107,No,No,0,157.1,79,6,1,False
MI,91,No,No,0,154.4,165,4,5,True
NE,159,No,No,0,189.1,105,5,1,True
VA,11,No,Yes,24,131.5,98,3,2,False
NY,167,No,No,0,166.4,85,5,1,False
MT,111,No,No,0,142.3,75,9,2,False
VT,99,No,Yes,19,87.7,103,4,2,False
KS,159,No,Yes,19,184.1,78,3,0,False
VA,114,Yes,Yes,31,174.5,104,10,2,False
AL,71,No,No,0,103.3,103,2,2,False
PA,122,No,No,0,35.1,62,2,1,False
AL,100,No,Yes,25,246.6,94,5,1,False
WV,83,No,Yes,37,78.5,109,4,1,False
NV,64,No,No,0,148.1,73,2,5,True
TN,105,No,No,0,206.2,84,3,1,False
ID,144,No,Yes,33,251.6,87,3,2,False
WY,106,Yes,Yes,26,270.3,111,7,1,True
TX,19,No,Yes,34,156.6,97,1,1,False
MA,46,No,No,0,139.4,81,6,1,False
IL,127,No,No,0,220.2,108,3,2,False
LA,9,No,Yes,39,214.1,108,3,1,False
CO,157,No,No,0,196,74,6,1,False
UT,105,No,No,0,106.4,71,4,6,True
MI,105,No,Yes,29,179.4,113,5,0,False
NH,155,No,No,0,216.7,30,1,2,False
ID,31,No,No,0,177.3,129,2,0,False
WA,161,No,No,0,151.6,117,5,1,False
MN,95,No,Yes,32,262.2,123,5,0,False
NY,122,No,No,0,173.6,110,7,3,False
MD,37,Yes,No,0,106.6,76,8,2,False
GA,132,No,No,0,193.3,106,4,5,True
HI,119,No,Yes,24,217.2,94,4,0,False
AL,16,No,No,0,209.5,89,4,1,False
CT,99,No,No,0,95.4,105,5,1,False
CO,76,No,Yes,26,214.6,110,2,1,False
KS,167,No,No,0,131.6,120,4,4,True
NJ,129,No,No,0,168.4,117,7,1,False
FL,116,No,No,0,146.4,123,5,1,False
CA,60,Yes,No,0,183,110,6,1,False
KS,128,No,No,0,103.3,122,7,0,False
TX,47,No,Yes,28,112.2,70,2,0,False
MN,40,Yes,No,0,170.7,55,9,3,False
AK,173,No,No,0,172.5,78,2,0,False
OR,157,No,Yes,30,194.3,107,5,1,False
MS,66,No,Yes,32,187.8,117,3,2,False
VT,50,Yes,Yes,26,307.1,94,3,0,False
UT,72,No,No,0,118.2,106,3,3,False
KS,130,No,No,0,154,95,1,1,False
NV,143,No,No,0,155.5,101,11,1,False
DE,89,Yes,No,0,125.6,108,5,1,False
IN,108,No,No,0,199.3,104,2,0,False
TX,32,No,No,0,157.9,88,3,1,False
MA,166,No,No,0,203.4,81,5,2,False
VT,109,No,No,0,222.2,113,5,1,False
CA,72,No,Yes,39,92.8,98,7,1,False
IA,134,No,Yes,32,216.8,78,2,0,False
NH,13,No,No,0,193.2,89,2,4,False
